open,high,low,vol,amount,return_daily,macd,roc,middleboll,upboll,downboll,cci,rsi,wr,k,d,j,alpha,beta,var_e,y_primary,y_label,trade_date,FirstTime,close
-0.7373872197821422,-0.6649503783715199,-0.7205418407571382,6.930659975854271,4.36658753663969,3.5574735064070677,0.08971535315532593,0.7599582664848025,-0.7571259032329845,-0.7520077063766962,-0.753537127821564,1.3590697881667764,1.5577711986137672,-1.771020559934469,0.8947804775601834,0.24130443314447336,1.4990357308283415,-0.5696808412717486,0.0974391650839303,0.9543379699907961,1.0,0.0,2000-03-28,2000-04-25,3.5249
-0.6338903582347566,-0.6277691429597408,-0.6777688814172916,4.448931288956275,2.8265656984828262,0.5219287088964885,0.3270861171322269,0.6710288002940425,-0.7458213729267511,-0.7378572261818116,-0.745914730229175,1.8563182297632352,1.6636289979669063,-1.4432122031353782,1.2054132005725684,0.6134876512482312,1.67896263543436,-0.11239503001111507,-0.07416781161419163,0.9723410101743878,1.0,1.0,2000-03-29,2000-04-10,3.5783
-0.6229959517560846,-0.6437039581362177,-0.6517290797972091,1.2449276667687348,0.6710562258676418,-1.088106933335916,0.3477256632163134,0.5622710011607317,-0.7388017481687758,-0.7289257681361936,-0.7413611194182336,1.6158634309299575,1.1381902973506843,-0.9514996679367412,1.171694598664186,0.8489556176083682,1.33376095959847,-0.0848782045098319,0.06115714354186535,0.6346969657401011,1.0,1.0,2000-03-30,2000-04-10,3.4715
-0.6683791113287554,-0.6490155631950432,-0.6517290797972091,0.7974137723613255,0.37275929876832764,-0.14278886879378117,0.3166948524705921,0.8563804461154734,-0.7341527255122574,-0.7205749500582527,-0.741369476545919,1.5457305798726835,1.0813271762740035,-0.8137645268699287,1.0445926569530046,0.9582344696661339,0.9513534300403675,0.11451479737345648,0.0089193709250565,0.5452555768879437,1.0,1.0,2000-03-31,2000-04-10,3.4596
-0.6665735776707732,-0.6738130002955155,-0.6777688814172916,0.11726676272079688,-0.09656112040907211,-1.0016582243032577,0.17878104034899212,1.3155399577548814,-0.730324118618654,-0.717345019068936,-0.7368478090619118,1.0002619518830782,0.6383258084278045,-0.054297990901844444,0.7179606779762754,0.9085060856067426,0.3588606546353047,0.1742259168289351,-0.22513178486281557,0.653248143108866,-1.0,0.0,2000-04-03,2000-04-10,3.3647
-0.6974512634488075,-0.6560877564475244,-0.6926219090561834,1.1062867745805016,0.5501577553682857,0.7370485924661663,0.13168897730110457,1.1963771779070702,-0.7266768020996273,-0.711603267042564,-0.7358489434560477,0.9818112792353475,0.853635428414885,-0.4834786331600013,0.6816927640388548,0.8617429291222781,0.3417595789093214,0.13159639571219262,-0.2418636162282322,0.6736105557439405,1.0,1.0,2000-04-04,2000-04-10,3.4359
-0.670215247252127,-0.6401529412710477,-0.6517290797972091,0.5962899508073499,0.24452249363620251,1.0306378547231865,0.17078301354611053,1.3448623231713166,-0.7224825417386573,-0.7019496055653829,-0.7384884152739085,1.2554490623416086,1.1321097309632466,-1.0916854702926955,0.9147053320340969,0.9180142330824802,0.7398813271084854,0.2640487436431768,-0.283352320048381,0.6569198269556403,1.0,1.0,2000-04-05,2000-04-10,3.5368
-0.6121015452774125,-0.6312903193470522,-0.6498802852176846,0.7310110868618976,0.33318516826490713,0.1599605215726597,0.18582462453054663,1.0872948766701964,-0.7187445800323424,-0.692893536836414,-0.7414027555917707,1.0811274676621145,1.1794803800004952,-1.1989806308572362,1.110312149266343,1.0289372604208766,0.9989099251735575,0.283024539328705,-0.2808853752760636,0.6641071886381875,1.0,0.0,2000-04-06,2000-04-21,3.5546
-0.6338903582347566,-0.6100438991117499,-0.6275694082579991,0.7832660994993899,0.400316876637526,0.637217508773651,0.22790864076319498,1.287029160536729,-0.7130001333328306,-0.6803471978978652,-0.7441793000249319,1.1473603767008085,1.352531823308384,-1.2754412434447513,1.222637985405481,1.145040445426901,1.085787774677882,0.35282706049360313,-0.5201399310756925,1.0084869671443109,1.0,0.0,2000-04-07,2000-04-12,3.6199
-0.6012071387987402,-0.5480652265994985,-0.5829163188372801,1.290301049666702,0.8243308963168642,2.208895114547856,0.43043782605492964,2.155420887660012,-0.7049772660782571,-0.6550637064274685,-0.757693396179961,1.5788265994889095,1.8327843438701776,-1.4182626309271957,1.3916886665890005,1.285885203249819,1.256548421741637,0.38242104702722807,-0.6122715110049749,1.1939052178725202,1.0,0.0,2000-04-10,2000-04-21,3.8454
-0.5575989106186621,-0.5799348569524521,-0.5847964489181524,0.4374074883596348,0.18507555247072888,-1.6773607993747468,0.3535417484047168,1.6455197335358467,-0.6986874118959089,-0.643603522628599,-0.7579058721765367,0.9529702973738731,0.9999280739046719,-0.3558139449182829,1.0768594517992327,1.261630189138097,0.6575144000258862,0.6746949225131399,-0.6988252557744378,1.1900162004258656,-1.0,1.0,2000-04-11,2000-04-24,3.6673
